ID,Goal,Target,Indicator,ReleaseStatus,ReleaseName,SeriesID,SeriesCode,isDSDSeries,SeriesDescription,SeriesObservationCount,GeoAreaCode,GeoAreaName,TimePeriod,Value,ValueType,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,ObservationID,Age,Freq,Location,Nature,Sex,UnitMultiplier,Units,Level/Status,Name of international agreement,Education level,Type of product,Type of facilities,Name of international institution,Type of occupation,Tariff regime (status),Type of skill,Mode of transportation,Type of mobile technology,Name of non-communicable disease,Type of speed,Migratory status,Disability status,Hazard type,IHR Capacity,Cities,Reporting Type,Quantile,Activity,Observation Status,Policy Domains,Policy instruments,Sampling Stations,Type of waste treatment,Grounds of discrimination,Parliamentary committees,Cause of death,Substance use disorders,Mountain Elevation,Deviation Level,Frequency of Chlorophyll-a concentration,Food Waste Sector,Fiscal intervention stage
1056420,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,188,Costa Rica,2015,85.79635,Float,2015,,,,,Instituto Nacional de Estadisticas y Censos ,,"",6014845,,,,,MALE,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056421,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,188,Costa Rica,2016,112.9233,Float,2016,,,,,Instituto Nacional de Estadisticas y Censos ,,"",6014846,,,,,MALE,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056422,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,188,Costa Rica,2016,111.13876,Float,2016,,,,,Instituto Nacional de Estadisticas y Censos ,,"",6014847,,,,,BOTHSEX,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056423,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,188,Costa Rica,2016,109.50562,Float,2016,,,,,Instituto Nacional de Estadisticas y Censos ,,"",6014848,,,,,FEMALE,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056424,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,188,Costa Rica,2018,93.45177,Float,2018,,,,,ITU,,"",6014849,,,,,FEMALE,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056425,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,188,Costa Rica,2018,92.72892,Float,2018,,,,,ITU,,"",6014827,,,,,MALE,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056426,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,188,Costa Rica,2018,93.10772,Float,2018,,,,,ITU,,"",6014828,,,,,BOTHSEX,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056435,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,192,Cuba,2013,19.07124,Float,2013,,,,,Oficina Nacional de Estadisticas e Informacion ,,"",6014811,,,,,BOTHSEX,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056436,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,192,Cuba,2014,24.13331,Float,2014,,,,,Oficina Nacional de Estadisticas e Informacion ,,"",6014812,,,,,BOTHSEX,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
1056437,5,5.b,5.b.1,Published,2020.Q4.G.02,1897,IT_MOB_OWN,1,"Proportion of individuals who own a mobile telephone, by sex (%)",589,192,Cuba,2015,31.92137,Float,2015,,,,,Oficina Nacional de Estadisticas e Informacion ,,"",6014813,,,,,BOTHSEX,,PERCENT,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,
